,movie,chapter,character,dialog,gender,releaseYear,processed_tokens,processed_text,preprocessed_tokens,preprocessed_text
41,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,i like riding round on the trains it takes my mind off things,male,2009,"['I', 'like', 'ride', 'round', 'train', 'take', 'mind', 'thing']",I like ride round train take mind thing,"['I', 'like', 'ride', 'round', 'train', 'take', 'mind', 'thing']",I like ride round train take mind thing
42,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,rather unpleasant to behold isn't it  the tale is thrilling if i do say so myself but i'm afraid now is not the time to tell it  take my arm,male,2009,"['rather', 'unpleasant', 'behold', 'not', 'tale', 'thrill', 'I', 'say', 'I', 'afraid', 'not', 'time', 'tell', 'take', 'arm']",rather unpleasant behold not tale thrill I say I afraid not time tell take arm,"['rather', 'unpleasant', 'behold', 'not', 'tale', 'thrill', 'I', 'say', 'I', 'afraid', 'not', 'time', 'tell', 'take', 'arm']",rather unpleasant behold not tale thrill I say I afraid not time tell take arm
43,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,i just apparated didn't i,male,2009,"['I', 'apparate', 'not', 'I']",I apparate not I,"['I', 'apparate', 'not', 'I']",I apparate not I
44,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,indeed  and quite successfully i might add  most people vomit their first time,male,2009,"['indeed', 'quite', 'successfully', 'I', 'might', 'add', 'people', 'vomit', 'first', 'time']",indeed quite successfully I might add people vomit first time,"['indeed', 'quite', 'successfully', 'I', 'might', 'add', 'people', 'vomit', 'first', 'time']",indeed quite successfully I might add people vomit first time
45,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,can't imagine why,male,2009,"['not', 'imagine']",not imagine,"['not', 'imagine']",not imagine
46,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,welcome to the charming village of budleigh babberton harry  i assume right about now you're wondering why i've brought you here am i right,male,2009,"['welcome', 'charming', 'village', 'budleigh', 'babberton', 'harry', 'I', 'assume', 'right', 'wonder', 'I', 'bring', 'I', 'right']",welcome charming village budleigh babberton harry I assume right wonder I bring I right,"['welcome', 'charming', 'village', 'budleigh', 'babberton', 'harry', 'I', 'assume', 'right', 'wonder', 'I', 'bring', 'I', 'right']",welcome charming village budleigh babberton harry I assume right wonder I bring I right
47,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,after all these years i just sort of roll with it sir,male,2009,"['year', 'I', 'sort', 'roll', 'sir']",year I sort roll sir,"['year', 'I', 'sort', 'roll', 'sir']",year I sort roll sir
48,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,wand out harry,male,2009,"['wand', 'harry']",wand harry,"['wand', 'harry']",wand harry
49,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,lumos,male,2009,['lumo'],lumo,['lumo'],lumo
50,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,horace!,male,2009,"['horace', '!']",horace !,"['horace', '!']",horace !
